size,cp,description,floor,price,addr_approx,pics,contact,lift,rooms,publicdistance,latitude,longitude,int_ext,deposit,orientation
 130 m² construidos ,48009, "Se alquila espectacular vivienda de 130 m2 exterior| vacía| de cuatro habitaciones| en pleno corazón de Indatxu| al lado de la plaza Campuzano. Está situado en un entorno comercial y con todos los servicios cercanos tales como: transporte| clínicas| supermercados| colegios., Planta 3ª exterior , 1.350 eur/mes - ,rodriguez arias| Campuzano| Bilbao,https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://logs3.xiti.com/hit.xiti?s=352991&s2=10&p=detalle::home&di=0&x19=[]&cmd=&xt_an=&roimt=&clic=#clic#, 944 941 068 , Con ascensor , 4 habitaciones ,?,43.2628735,-2.9395971,
 85 m² construidos ,48014, "Piso muy céntrico| junto a la plaza de S. Pedro y a 5 minutos de la Universidad de Deusto y un minuto de la parada de bus para la Universidad de Leioa. Exterior y renovado en el 2015| ideal para estudiantes| se alquila de Septiembre a Junio., Planta 2ª exterior , 900 eur/mes - ,ramón y cajal etorbidea| San Pedro de Deusto-Arangoit| Bilbao,https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://logs3.xiti.com/hit.xiti?s=352991&s2=10&p=detalle::home&di=0&x19=[]&cmd=&xt_an=&roimt=&clic=#clic#, 944 941 068 , Con ascensor , 3 habitaciones ,?,43.2727202,-2.9461203,
 80 m² construidos| 75 m² útiles ,48007, "Bonito piso en Begoña. Futura boca de metro línea 3 a 200 mts. Salón de 25 m2. Dos dormitorios ( antes tres)| Dos baños (uno con bañera y otro con ducha hidromasaje)| Cocina equipada. Terraza. Dos ascensores. Portal y edificio recién reformado. Exterior| soleado. Calefacción central y comunidad incluido en el precio. Totalmente amueblado. En perfecto estado. También se admite venta (225.000) y alquiler con derecho a compra. Abstenerse inmobiliarias" , Planta 3ª exterior , 800 eur/mes - ,calle ugarteburu jose maria| 22| Zurbarán| Bilbao,https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|//smart.idealista.com/call/pubi/33114/253244/16025/M/[timestamp]/?|//smart.idealista.com/call/pubi/33114/253244/16023/M/[timestamp]/?|https://logs3.xiti.com/hit.xiti?s=352991&s2=10&p=detalle::home&di=0&x19=[]&cmd=&xt_an=&roimt=&clic=#clic#, 620 120 586 , Con ascensor , 2 habitaciones ,?,43.2615184,-2.9123107,
 75 m² construidos| 70 m² útiles ,, "Cerca del Campo Volantin| elegante y sofisticado apartamento| de 75 m2| con dos dormitorios| y un gran salón-comedor| con un estudio diáfano del diseño| fue reformado con una obra integral| a capricho hace 4 años| y se empleó una gran calidad en los materiales. Calefacción individual de gas natural| ventanas de PVC nuevas con doble acristalamiento Climalit| todas ellas con sendas puertas de PVC | con acceso a tres balcones. Grandes puertas correderas con madera lacada de alta calidad para acceder al baño y al dormitorio principal. Sin vecinos ni puertas anexas. Totalmente exterior| con todos los metros muy bien aprovechados. Posibilidad de alquiler con opción a compra. Diseño de estilo años 50: Mesa del comedor| Eames. Sillas del comedor: Tulipa. Cocina: encimera en isla de Silestone Cosentino| en blanco. Electrodomésticos de la cocina: Balay. Muebles de diseño italiano. Tratamiento de las bigas y del diseño de los techos y columnas de madera. El apartamento combina estilos: zonas de diseño minimalista y otras de diseño vintage postindustrial. El suelo es de roble de doble grosor., Planta 2ª exterior , 950 eur/mes - ,calle tiboli| Campo Volantín-Castaños| Bilbao,https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://logs3.xiti.com/hit.xiti?s=352991&s2=10&p=detalle::home&di=0&x19=[]&cmd=&xt_an=&roimt=&clic=#clic#, 944 941 068 , Con ascensor ,,?,43.2685593,-2.928208,
 120 m² construidos ,48014, "ABSTENERSE ESTUDIANTES, Planta 12ª exterior , 1.200 eur/mes - ,julio lazurtegui| San Pedro de Deusto-Arangoit| Bilbao,https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://logs3.xiti.com/hit.xiti?s=352991&s2=10&p=detalle::home&di=0&x19=[]&cmd=&xt_an=&roimt=&clic=#clic#, 944 947 269 , Con ascensor , 4 habitaciones ,?,43.2715244,-2.9509571,
 52 m² construidos ,, "Particular alquila apartamento| interior| primero| muy tranquilo en el centro de Bilbao| Al. Rekalde| zona Guggenheim. Dos habitaciones (dormitorio y estudio)| sala- comedor| baño y cocina., Planta 1ª interior , 650 eur/mes - ,alameda de Recalde| 16| Abandoibarra-Guggenheim| Bilbao,https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|//smart.idealista.com/call/pubi/33114/253244/16025/M/[timestamp]/?|//smart.idealista.com/call/pubi/33114/253244/16023/M/[timestamp]/?|https://logs3.xiti.com/hit.xiti?s=352991&s2=10&p=detalle::home&di=0&x19=[]&cmd=&xt_an=&roimt=&clic=#clic#, 652 775 029 , Con ascensor ,,?,43.2630126,-2.9349852,
 89 m² construidos| 80 m² útiles ,, "Piso para 3 estudiantes| desde Septiembre a Junio| zona de Recalde a pocos minutos andando de Escuela de Ingenieros| Hospital de Basurto| y con todos los servicios a mano., Planta 4ª exterior , 800 eur/mes - ,calle altube| 10| Rekalde Centro| Bilbao,https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://logs3.xiti.com/hit.xiti?s=352991&s2=10&p=detalle::home&di=0&x19=[]&cmd=&xt_an=&roimt=&clic=#clic#, 944 682 158 , Con ascensor , 3 habitaciones ,?,,exterior, 800 eur/mes - , Orientación sur ,
 60 m² construidos ,48007, "Precioso piso de unos 50 metros a estrenar. Salon comedor con cocina americana con todos los electrodomésticos sin estrenar|inducción|lavavajillas|horno|microondas..etc... Dos amplías habitaciones muy acogedoras. Pequeño baño con ducha de hidromasaje. La vivienda es interior a patio de manzana muy luminoso y silencioso. Ventanas con doble acristalamiento y osciló batientes|calefacción de gas natural individual. El edicto tiene ascensor en una comunidad familiar. La calle es muy tranquila y nada conflictiva. Próxima línea 3 de metro en la puerta prácticamente. A dos minutos andando del ayuntamiento de Bilbao y Campo Volantin y a un paso de las zonas más características...Casco Viejo|Gran Vía|Guggenheim...etc.. Solo gente seria." , Planta 6ª interior , 825 eur/mes - ,cristo| 12| Uribarri| Bilbao,https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|//smart.idealista.com/call/pubi/33114/253244/16025/M/[timestamp]/?|//smart.idealista.com/call/pubi/33114/253244/16023/M/[timestamp]/?|https://logs3.xiti.com/hit.xiti?s=352991&s2=10&p=detalle::home&di=0&x19=[]&cmd=&xt_an=&roimt=&clic=#clic#, 600 475 135 , Con ascensor , 2 habitaciones ,?,43.2655492,-2.9220954,
 78 m² construidos| 65 m² útiles ,48003, "disponible apartamento exterior de un dormitorio situado en la 4º planta (sin ascensor) de una finca ubicada en c/ Hernani. Está distribuido en salón-comedor (con balcón a la calle)| cocina independiente| un dormitorio y cuarto de baño. Se entrega amueblado y en perfecto estado. Se trata de una vivienda singular| con una reforma total de estructura| y diseño de espacios| realizada según proyecto de arquitecto. La calefacción y el agua caliente son individuales de gas natural. Plaza de garaje opcional. LLámanos para organizar una visita." , Planta 4ª exterior , 750 eur/mes - ,calle Hernani| San Francisco| Bilbao,https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://logs3.xiti.com/hit.xiti?s=352991&s2=10&p=detalle::home&di=0&x19=[]&cmd=&xt_an=&roimt=&clic=#clic#, 628 378 515 , Sin ascensor ,,?,43.2567168,-2.9286077,
 60 m² construidos| 50 m² útiles ,, "Apartamento totalmente reformado para uso del propietario| con electrodomésticos modernos de bajo consumo. , Planta 2ª interior , 880 eur/mes - ,calle Lersundi Kalea| 11| Abandoibarra-Guggenheim| Bilbao,https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|//smart.idealista.com/call/pubi/33114/253244/16025/M/[timestamp]/?|//smart.idealista.com/call/pubi/33114/253244/16023/M/[timestamp]/?|https://logs3.xiti.com/hit.xiti?s=352991&s2=10&p=detalle::home&di=0&x19=[]&cmd=&xt_an=&roimt=&clic=#clic#, 652 721 578 , Con ascensor ,,?,43.2630126,-2.9349852,
 80 m² construidos ,, "Piso de 80m2. de 2 dormitorios| gran salón independiente con acceso a terraza de 10m2| cocina amueblada y equipada| 1 baño| calefacción individual de gas natural y armarios empotrados. Piso exterior y amueblado. Gastos de comunidad incluidos en el precio de la renta. Finca con ascensor. Piso a 2 minutos del Metro Santutxu| cercano a toda la zona comercial y de ocio." , Planta 7ª exterior , 675 eur/mes - ,calle santa clara| 5| Santutxu-Basarrate| Bilbao,https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://logs3.xiti.com/hit.xiti?s=352991&s2=10&p=detalle::home&di=0&x19=[]&cmd=&xt_an=&roimt=&clic=#clic#, 902 375 777 , Con ascensor , 2 habitaciones ,?,43.2630126,-2.9349852,
 58 m² construidos ,, "Alquilamos en el centro de Bilbao en la calle Lersundi| un piso ideal para parejas que no quieren renunciar al ambiente bilbaíno., Planta 3ª interior , 850 eur/mes - ,calle lersundi| Abandoibarra-Guggenheim| Bilbao,https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://logs3.xiti.com/hit.xiti?s=352991&s2=10&p=detalle::home&di=0&x19=[]&cmd=&xt_an=&roimt=&clic=#clic#, 944 682 286 , Sin ascensor , 2 habitaciones ,?,43.2630126,-2.9349852,
 90 m² construidos| 82 m² útiles ,, "ENSANCHE-Guggenheim| Mazarredo Piso exterior| hormigón| 4º de altura| 82 m2. Totalmente reformado exterior e interiormente (tejados| fachada| patios| zonas comunes| portal| escaleras| ascensores nuevos). Acceso minusválidos. 2 habitaciones con armarios empotrados| gran salón comedor con terraza| cocina amplia equipada (placa vitrocerámica| horno| microondas| lavadora| lavavajillas| combi)| baño completo y aseo. Amueblado. Excelente distribución. Reformado total (suelos| cocina| baños| paredes| electricidad| ventanas oscilo batientes de climalit). Puerta blindada| calefacción central. Toma de TV y tfno. en todas las habitaciones. Impecable. Incluye gastos de comunidad y calefacción. Gastos individualizados (luz y agua) no incluidos. Parcela de garaje incluida en el precio" , Planta 4ª exterior , 1.140 eur/mes - ,mazarredo zumarkalea| Abandoibarra-Guggenheim| Bilbao,https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://logs3.xiti.com/hit.xiti?s=352991&s2=10&p=detalle::home&di=0&x19=[]&cmd=&xt_an=&roimt=&clic=#clic#, 944 947 254 , Con ascensor , 2 habitaciones ,?,43.2630126,-2.9349852,
 65 m² construidos| 60 m² útiles ,, "Se alquila atractivo apartamento en el centro de Bilbao| frente al museo Guggenheim y a un paso de la pasarela Pedro Arrupe. Todo exterior| con vistas al monte (al cual hay acceso privado) . Ubicación privada e independiente de la calle. Cero ruidos. Totalmente amueblado. Terraza ajardinada de comunidad. Bidegorri (carril-bici) en la puerta. Garaje individual (2 plazas) . , Planta 3ª exterior , 875 eur/mes - ,unibertsitate etorbidea| Campo Volantín-Castaños| Bilbao,https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://logs3.xiti.com/hit.xiti?s=352991&s2=10&p=detalle::home&di=0&x19=[]&cmd=&xt_an=&roimt=&clic=#clic#, 944 947 254 , Con ascensor ,,?,43.2685593,-2.928208,
 65 m² construidos| 60 m² útiles ,, "Rekalde|  Piso amueblado de 2 habitaciones con armarios| sala| cocina equipada| baño completo| exterior. Soleado. Buenas vistas." , Planta 5ª exterior , 550 eur/mes - ,Artatzu-Larraskitu| Bilbao,https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://st1.idealista.com/static/common/img/icons/px.png|https://logs3.xiti.com/hit.xiti?s=352991&s2=10&p=detalle::home&di=0&x19=[]&cmd=&xt_an=&roimt=&clic=#clic#, 944 942 178 , Sin ascensor , 2 habitaciones ,?,43.2630126,-2.9349852,
